    0.00000   -0.46115
    0.01387   -0.46108
    0.02774   -0.46086
    0.04161   -0.46050
    0.05548   -0.46000
    0.06935   -0.45935
    0.08322   -0.45856
    0.09709   -0.45763
    0.11097   -0.45656
    0.12484   -0.45534
    0.13871   -0.45399
    0.15258   -0.45251
    0.16645   -0.45089
    0.18032   -0.44914
    0.19419   -0.44726
    0.20806   -0.44525
    0.22193   -0.44312
    0.23580   -0.44087
    0.24967   -0.43851
    0.26354   -0.43603
    0.27741   -0.43345
    0.29128   -0.43077
    0.30515   -0.42799
    0.31902   -0.42513
    0.33290   -0.42220
    0.34677   -0.41919
    0.36064   -0.41613
    0.37451   -0.41302
    0.38838   -0.40987
    0.40225   -0.40670
    0.41612   -0.40353
    0.42999   -0.40036
    0.44386   -0.39722
    0.45773   -0.39413
    0.47160   -0.39110
    0.48547   -0.38815
    0.49934   -0.38530
    0.51321   -0.38259
    0.52708   -0.38001
    0.54095   -0.37759
    0.55483   -0.37536
    0.56870   -0.37331
    0.58257   -0.37147
    0.59644   -0.36983
    0.61031   -0.36841
    0.62418   -0.36718
    0.63859   -0.36804
    0.65301   -0.36923
    0.66742   -0.37067
    0.68184   -0.37229
    0.69625   -0.37405
    0.71067   -0.37588
    0.72508   -0.37775
    0.73950   -0.37962
    0.75391   -0.38147
    0.76833   -0.38326
    0.78274   -0.38499
    0.79716   -0.38664
    0.81157   -0.38820
    0.82599   -0.38965
    0.84040   -0.39099
    0.85481   -0.39222
    0.86923   -0.39333
    0.88364   -0.39432
    0.89806   -0.39518
    0.91247   -0.39591
    0.92689   -0.39651
    0.94130   -0.39698
    0.95572   -0.39732
    0.97013   -0.39752
    0.98455   -0.39758
    0.99870   -0.39783
    1.01286   -0.39854
    1.02702   -0.39970
    1.04117   -0.40126
    1.05533   -0.40316
    1.06949   -0.40535
    1.08364   -0.40777
    1.09780   -0.41035
    1.11196   -0.41307
    1.12611   -0.41586
    1.14027   -0.41871
    1.15443   -0.42156
    1.16858   -0.42440
    1.18274   -0.42721
    1.19690   -0.42997
    1.21105   -0.43266
    1.22521   -0.43526
    1.23937   -0.43778
    1.25352   -0.44019
    1.26768   -0.44249
    1.28184   -0.44468
    1.29599   -0.44675
    1.31015   -0.44869
    1.32431   -0.45050
    1.33846   -0.45217
    1.35262   -0.45371
    1.36678   -0.45511
    1.38093   -0.45637
    1.39509   -0.45748
    1.40925   -0.45845
    1.42340   -0.45927
    1.43756   -0.45995
    1.45172   -0.46047
    1.46587   -0.46085
    1.48003   -0.46107
    1.49419   -0.46115
    1.50820   -0.46108
    1.52221   -0.46085
    1.53622   -0.46049
    1.55023   -0.45997
    1.56424   -0.45931
    1.57826   -0.45850
    1.59227   -0.45755
    1.60628   -0.45645
    1.62029   -0.45520
    1.63430   -0.45381
    1.64831   -0.45228
    1.66232   -0.45061
    1.67634   -0.44879
    1.69035   -0.44683
    1.70436   -0.44474
    1.71837   -0.44250
    1.73238   -0.44013
    1.74639   -0.43763
    1.76040   -0.43499
    1.77442   -0.43222
    1.78843   -0.42933
    1.80244   -0.42631
    1.81645   -0.42317
    1.83046   -0.41992
    1.84447   -0.41655
    1.85848   -0.41308
    1.87250   -0.40951
    1.88651   -0.40586
    1.90052   -0.40212
    1.91453   -0.39832
    1.92854   -0.39447
    1.94255   -0.39059
    1.95657   -0.38672
    1.97058   -0.38288
    1.98459   -0.37913
    1.99860   -0.37552
    2.01261   -0.37214
    2.02662   -0.36908
    2.04063   -0.36648
    2.05465   -0.36447
    2.06866   -0.36320
    2.08267   -0.36276
    2.09654   -0.36276
    2.11041   -0.36276
    2.12428   -0.36277
    2.13815   -0.36278
    2.15202   -0.36281
    2.16589   -0.36287
    2.17976   -0.36297
